"","spp","Predicted","SE","lower","upper","island"
"1","apop",0.999950650469192,0.00201636693724461,3.35606881177277e-31,1,"Rota"
"2","apop",0.999950650469192,0.00201636693724461,3.35606881177277e-31,1,"Saipan"
"3","apop",0.999950650469192,0.00201636693724461,3.35606881177277e-31,1,"Tinian"
"4","clma",0.999986654793543,0.00032391835837993,1.63608409191689e-16,1,"Saipan"
"5","coku",0.0136101918645005,0.0443480114652669,2.12787541849978e-05,0.899466856696572,"Rota"
"6","dima",0.999702689155979,0.00836761417261473,3.65627871280434e-21,1,"Rota"
"7","gaga",0.0310716942490811,0.0220511418985697,0.00757380175991173,0.118749128028308,"Rota"
"8","gaga",0.0310716942490811,0.0220511418985697,0.00757380175991173,0.118749128028308,"Saipan"
"9","gaga",0.0310716942490811,0.0220511418985697,0.00757380175991173,0.118749128028308,"Tinian"
"10","gaxa",0.111813349992127,0.0537565205144785,0.0417556601054193,0.266699286088295,"Rota"
"11","gaxa",0.111813349992127,0.0537565205144785,0.0417556601054193,0.266699286088295,"Saipan"
"12","gaxa",0.111813349992127,0.0537565205144785,0.0417556601054193,0.266699286088295,"Tinian"
"13","gyal",0.17899767424116,0.160579845223006,0.0249698943967229,0.649875320980949,"Rota"
"14","gyal",0.17899767424116,0.160579845223006,0.0249698943967229,0.649875320980949,"Saipan"
"15","mela",0.107405423187341,0.16857407405842,0.00381928986485882,0.790645476323903,"Saipan"
"16","mota",0.999985954260313,0.000414699973924144,5.25291577793089e-21,1,"Tinian"
"17","myru",0.98755541151069,0.296215412660553,2.41728675194515e-19,1,"Rota"
"18","myru",0.98755541151069,0.296215412660553,2.41728675194515e-19,1,"Saipan"
"19","myru",0.98755541151069,0.296215412660553,2.41728675194515e-19,1,"Tinian"
"20","ptro",0.997965351514406,0.0327540264090028,9.11884416938499e-12,1,"Rota"
"21","ptro",0.997965351514406,0.0327540264090028,9.11884416938499e-12,1,"Saipan"
"22","ptro",0.997965351514406,0.0327540264090028,9.11884416938499e-12,1,"Tinian"
"23","rhru",0.999743917282132,0.00148345875547471,0.0436463499640877,0.999999997005582,"Rota"
"24","rhru",0.999743917282132,0.00148345875547471,0.0436463499640877,0.999999997005582,"Saipan"
"25","rhru",0.999743917282132,0.00148345875547471,0.0436463499640877,0.999999997005582,"Tinian"
"26","stbi",0.051275151117756,0.0293599210825071,0.0162891366961455,0.149950219452091,"Rota"
"27","stbi",0.051275151117756,0.0293599210825071,0.0162891366961455,0.149950219452091,"Saipan"
"28","stbi",0.051275151117756,0.0293599210825071,0.0162891366961455,0.149950219452091,"Tinian"
"29","toch",0.99874828811887,0.0351189552201263,9.77417771410171e-22,1,"Rota"
"30","toch",0.99874828811887,0.0351189552201263,9.77417771410171e-22,1,"Saipan"
"31","toch",0.99874828811887,0.0351189552201263,9.77417771410171e-22,1,"Tinian"
"32","zoco",0.999891131834876,0.000538299490924884,0.361964373558624,0.999999993274613,"Saipan"
"33","zoco",0.999891131834876,0.000538299490924884,0.361964373558624,0.999999993274613,"Tinian"
